MITI,NANDU,MIGE,TISHI,JIEMI,MIDI,FAYIN,JIESHI,ZAOJU
容易,5,灯谜,根据谜题字词别意以及近义联想、合成,容可以解为头、面，易即改、换，可以解为改头换面,改头换面,gǎi tóu huàn miàn,比喻只改外表和形式，内容实质不变。,这部作品在内容和观点上都有错误，只是～，修修补补，是解决不了问题的。
言传身教,3,下楼格,根据谜题字词近义联想、合成,言传身教的自然是人师，言同说、表，身教即行为，可得人师表为，由于下楼格，解得为人师表,为人师表,wéi rén shī biǎo,师表：榜样，表率。在人品学问方面作别人学习的榜样。,敬宗忝～，而求谒中贵，他日无以见诸生。明·焦竑《玉堂丛语·方正》
美梦,7,灯谜,根据谜题字词相关义以及引申义联想、合成,梦虽美但是很快就会破了，不会常在，可以解为好景不常,好景不常,hǎo jǐng bù cháng,美好的光景不能永远存在。多用于对世事变迁的感叹。,古华《芙蓉镇》第一章：“可是～，第二年的反右派斗争中，《女歌堂》被打成一支射向新社会的大毒箭。”
说没病不去医院,4,谜语,根据谜题意思以及近义联想,说没病解为回避得了病，不去医院解为忌讳去医院，可解为讳疾忌医,讳疾忌医,huì jí jì yī,讳：避忌；忌：怕，畏惧。隐瞒疾病，不愿医治。比喻怕人批评而掩饰自己的的缺点和错误。,一个～的人是改正不了自己的错误的。
日月星辰奏凯歌,4,谜语·灯谜,根据谜题字词近义联想、合成,日月星辰可解为天、普天之下，奏凯歌即解为共同庆祝,普天同庆,pǔ tiān tóng qìng,天下的人或全国的人共同庆祝。,大街上搭起几坐彩坊，中间还有四个字道：“～”，据说这算是过年。（鲁迅《华盖集续编·杂论管闲事·做学问·灰色等》）
茗,3,灯谜,根据字的拆分以及结构联想、合成,茗字拆为草、名，前茅即草，于是可解为名列前茅,名列前茅,míng liè qián máo,比喻名次列在前面。,去年弟在京师，听说二公子中了秀才，且～，颇为学台赏识，实在可贺可贺。（姚雪垠《李自成》第二卷第十七章）
读错,4,灯谜,根据谜题字词别意以及近义联想、合成,读即念，错解为差错，于是可解为一念之差,一念之差,yī niàn zhī chā,念：念头、主意；差：错误。一个念头的差错（造成严重后果）。,世间孽子、孤臣、义夫、节妇，其贤不肖往往只在～。（清·李汝珍《镜花缘》第九十回）
大冬天坐在外面聊天,5,灯谜,根据谜题意思以及引申义联想、合成,冬天坐外边可以想到冷，聊天可解为言语，即得冷言冷语,冷言冷语,lěng yán lěng yǔ,带讥讽的冷冰冰的话。,朱老忠一问，严志和又火呛起来，～说：“那谁又知道呢？”（梁斌《红旗谱》三十六）
四川,3,谜语·灯谜,根据谜题字词别称联想,四川又称为天府之国,天府之国,tiān fǔ zhī guó,天府：天生的仓库；国：地区。原指土地肥沃、物产丰富的地区。后专指四川。,益州险塞，沃野千里，～，高祖因之以成帝业。（明·罗贯中《三国演义》第三十八回）
坦克部队,4,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,坦克解为坚硬盔甲战车，部队即为非常厉害的兵种，即得坚甲利兵,坚甲利兵,jiān jiǎ lì bīng,坚固的盔甲，锋利的兵器。形容精锐的部队。,只要战争危险还存在，就必须有～，不断强化国防力量。
玉盘若满色心起,3,双钩格,根据谜题字词别称以及近义联想、合成,玉盘即月亮，满即圆，色心起可解为花心好色，于是可解为月圆花好，由于双钩格，可得花好月圆,花好月圆,huā hǎo yuè yuán,花儿正盛开，月亮正圆满。比喻美好圆满。多用于祝贺人新婚。,祝你们～，白头偕老。
锅底活鱼,2,,根据谜题意思以及近义联想,锅古代又称釜，活鱼解为游鱼，可得釜底游鱼,釜底游鱼,fǔ dǐ yóu yú,在锅里游着的鱼。比喻处在绝境的人。也比喻即将灭亡的事物。,他们已是飞走路绝，恰似～，或降或死，别无他途。（姚雪垠《李自成》第一卷第十一章）
又,6,灯谜,根据字的拆分以及结构联想、合成,文字可拆为点、又，文不加点即又字,文不加点,wén bù jiā diǎn,点：涂上一点，表示删去。文章一气呵成，无须修改。形容文思敏捷，写作技巧纯熟。,援笔一挥，～。（明·洪楩《清平山堂话本·夔关姚卞吊诸葛》）
救火岂可拖拉,2,上楼格,根据谜题字词近义联想、合成,岂可解为不可，拖拉解为磨蹭，救火解为灭火，即得灭不可磨，由于上楼格，解为不可磨灭,不可磨灭,bù kě mó miè,磨灭：消失。永远消失不了。指事迹言论等将始终保留在人们的记忆中。,周总理以他崇高的品格，卓越的才华，给人留下了～的印象。
我的一生,3,谜语·灯谜,根据时间以及字词近义联想,我即自己，一生即始至终，可解为自始至终,自始至终,zì shǐ zì zhōng,从开始到末了。表示一贯到底。,他～都爱着她。
千山鸟飞绝,2,谜语·灯谜,根据所描述景象以及字词近义联想,可以想到所有鸟都不见了也就没有了声响，解为鸦雀无声,鸦雀无声,yā què wú shēng,连乌鸦麻雀的声音都没有。形容非常静。,直等到大众去净之后，静悄悄的～。（清·李宝嘉《官场现形记》第三十三回）
枕边语,2,谜语,根据谜题意思以及近义联想,可以解为床笫之间的私房话，即得床笫之私,床笫之私,chuáng dì zhī sī,笫：竹编的床席。床笫：床铺。指闺房之内或夫妇间的私话、私事。,我们不要过问他们的～
张顺浪里斗李逵,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,以长攻短,yǐ cháng gōng duǎn,利用自己的长处去攻击别人的短处,～很容易取胜
插秧,6,谜语·灯谜,根据所描述事情的动作形象联想,可以想到一遍退，一遍插，可以解为以退为进,以退为进,yǐ tuì wéi jìn,本指以谦让取得德行的进步，后指以退让的姿态作为进取的手段。,为了有力的打击敌人，常常采取～、灵活多变的战略方针。
野史,2,谜语,根据谜题意思以及近义联想,轶事遗闻有类似意思,轶事遗闻,yì shì yí wén,世人不大知道的事迹和传说。多指不见于正式记载的。,刘师培《论说部与文学之关系》：“故单辞只义，～，咸笔之于书，以冀流传久远。”
向预定海域发射火箭,3,谜语·灯谜,根据谜题字词近义联想、合成,预定解为有目的地，发射解为放射，火箭解为矢，即得有的放矢,有的放矢,yǒu dǐ fàng shǐ,的：箭靶子；矢：箭。放箭要对准靶子。比喻说话做事有针对性。,马克思列宁主义理论和中国革命实际，怎样互相联系呢？拿一句通俗的话来讲，就是“～”。（毛泽东《整顿党的作风》）
显微镜,6,谜语·灯谜,根据所描述事物的作用以及近义联想、合成,可以想到作用是观察非常细微的东西，可以解为明察秋毫,明察秋毫,míng chá qiū háo,明察：看清；秋毫：秋天鸟兽身上新长的细毛。原形容人目光敏锐，任何细小的事物都能看得很清楚。后多形容人能洞察事理。,余忆童稚时，能张目对日，～，见藐小微物，必细察其纹理。（清·沈复《浮生六记·闲情记趣》）
远航,1,谜语,根据谜题意思联想,乘桴浮海有类似意思,乘桴浮海,chéng fú fú hǎi,桴：小筏子。乘小筏子浮游海外。比喻远行,《论语·公冶长》：“子曰：‘道不行，乘桴浮于海，从我者其由欤？”
僵尸,3,谜语,根据谜题意思以及近义联想,僵尸自然是行尸走肉,行尸走肉,xíng shī zǒu ròu,行尸：可以走动的尸体；走肉：会走动而没有灵魂的躯壳。比喻不动脑筋，不起作用，糊里糊涂过日子的人。,在他们的心目中，任何貌似强大的侵略者，都只不过是一群徒有虚表的～而已。（峻青《不尽巨涛滚滚来》）
白水煮豆腐,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,淡而无味,dàn ér wú wèi,淡：薄，与“浓”相对。菜肴因盐少而没有味道。亦泛指清淡无味。亦形容说话、写文章内容平淡，无趣味。,庶民因其～，不及米谷之香，吃者甚少。（清·李汝珍《镜花缘》第十二回）
吃了嘴短，拿了手软,2,谜语,根据谜题意思联想,也就是这样会受制于人,受制于人,shòu zhì yù rén,制：控制。被别人控制。,～，威名顿尽。(《梁书·侯景传》)
老鼠咬铳,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,两败俱伤,liǎng bài jù shāng,斗争双方都受到损伤，谁也没得到好处。,这两种运动合起来便能够互收效益，分开来定要～。（闻一多《文艺与爱国——纪念三月十八》）
故宫复弄弦,4,摘领格,根据谜题字词别意以及近义联想、合成,故可解为旧、老，复弄弦即重弹，即得老重弹，由于摘领格，可解为老调重弹,老调重弹,lǎo diào zhòng dàn,比喻把说过多次的理论、主张重新搬出来。也比喻把搁置很久的技艺重新做起来。亦作“旧调重弹”、“重弹老调”。,他总是喜欢～。
不须妻母相逼问,2,谜语·灯谜,根据谜题字词近义联想、合成,解为不需要妻子、母亲逼问，丈夫、儿子自己说，解为夫子自道,夫子自道,fū zǐ zì dào,指本意是说别人好处，而事实上却正道着了自己。也用在不好的一面，意思是指摘别人，却正指摘了自己。,就在那一年所做的《湘累》，实际上就是“～”。（郭沫若《学生时代·创造十年》）
叶公惊倒，心跳停止,8,辘轳格,根据人物故事以及字词近义联想、合成,叶公好龙的故事，解为龙来，脉搏没了、去了，即龙来脉去，由于辘轳格，解得来龙去脉,来龙去脉,lái lóng qù mài,本指山脉的走势和去向。现比喻一件事的前因后果。,焦裕录严肃地说：“要弄清它的～，打垮它、制服它。”（峻青《焦裕录的光辉》）
外来语,7,粉底格,根据谜题字词近义以及引申义联想、合成,也就是说言语不是由中国产生的，即得言不由中，由于粉底格，可解为言不由衷,言不由衷,yán bù yóu zhōng,由：从；衷：内心。话不是打心眼里说出来的，即说的不是真心话。指心口不一致。,旋复下一通令，洋洋洒洒，约一二千言，小子因他～，不愿详录。（蔡东藩、许廑父《民国通俗演义》第二十八回）
答非所问,2,谜语,根据谜题意思联想,回答的和问的不一致，类似文不对题,文不对题,wén bù duì tí,文章里的意思跟题目对不上。指人说话或写文章不能针对主题。,她睡梦中常说英语—有时～的使人发笑。（冰心《我的学生》）
蛇,8,灯谜,根据生物特点联想,众所周知蛇是冷血动物,冷血动物,lěng xuè dòng wù,体温随环境温度的改变而变化的动物。比喻缺乏感情、对人对事冷漠的人。,他是个～。
脚踩牛屎,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,一塌糊涂,yī tā hú tú,形容混乱或败坏到了不可收拾的程度。,新开设的中学，更是～，笑话百出。（郭沫若《革命春秋·学生时代》）
撑得难受要出恭,3,掉首格,根据谜题字词近义联想、合成,撑的难受可解为肚子撑大了即腹大，出恭即便便，可得腹大便便，由于掉首格，可解为大腹便便,大腹便便,dà fù pián pián,便便：肥胖的样子。形容肥胖的样子。,动物园里～的企鹅非常有趣。
脑袋成了葫芦,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,头昏脑胀,tóu hūn nǎo zhàng,头脑发昏。形容人的繁忙或事物毫无头绪，使人厌烦。,他～的，很难把事情做好。
十月一日,5,灯谜,根据字的拆分以及结构联想、合成,十、一解为正负即是非，明字可拆为日、月，是非分明即十月一日,是非分明,shì fēi fēn míng,正确与错误非常分明。,他处理问题上一向～。
染房的常客,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,好色之徒,hào sè zhī tú,喜欢女色、玩弄女性之人。,无知骨子里是个～，怎敖得住！家里不能做手脚，便在外面寻花问柳。（清·张南庄《何典》第八回）
陈镜开夺魁,7,谜语·灯谜,根据人物职业以及字词近义联想、合成,陈镜开著名举重运动员，夺魁解为成名，即得一举成名,一举成名,yī jǔ chéng míng,原指一旦中了科举就扬名天下。后指一下子就出了名。,十年窗下无人问，～天下知。（金·刘祁《归潜志》卷七）
工休,3,谜语·灯谜,根据谜题字词近义联想、合成,可解为工作过程中获得休息，即得忙里偷闲,忙里偷闲,máng lǐ tōu xián,在忙碌中抽出一点时间来做别的不关重要的事，或者消遣。,原来阿妹去看瀑布，可谓“～”了。（清·李汝珍《镜花缘》第四十九回）
汕,5,灯谜,根据字的拆分以及结构联想、合成,汕字可拆为水、山，山水相连即汕字,山水相连,shān shuǐ xiāng lián,指边界连接在一起。,我们与俄罗斯是～的邻邦
灾后遇救星,2,谜语·灯谜,根据谜题字词近义联想、合成,灾解为祸，救星解为福星，遇即得，也就是因祸得福,因祸得福,yīn huò dé fú,变坏事为好事。,伯翁，你说我误事不误事，如今不是～吗？（清·姬文《市声》第六回）
辞旧岁爆竹声声，迎新春锣鼓咚咚,6,谜语·灯谜,根据所描述景象发生时家禽反应联想、合成,这个场景需要农村的才能体会，鸡叫、狗吠伴随着能听到，可以解为鸡犬相闻,鸡犬相闻,jī quǎn xiāng wén,指人烟稠密。,阡陌交通，～。(晋·陶潜《桃花源记》)
向外披露与之不共戴天者,5,灯谜,根据谜题字词别意以及近义联想、合成,向外披露可解为公开报道，与之不共戴天者解为私仇，即得公报私仇,公报私仇,gōng bào sī chóu,假借公事报私人的仇恨。,汪知县～，借家人卢才的假人命，装在我名下，要加小的死罪。（明·冯梦龙《醒世恒言》卷二十九）
桂林风景,5,谜语·灯谜,根据所描述景象以及相关义联想、合成,桂林风景最有名的自然是山水，而且是山清水秀,山清水秀,shān qīng shuǐ xiù,形容风景优美。,我的家乡是个～的好地方。
卜,7,灯谜,根据字的拆分、结构以及形状联想、合成,卜字可拆为竖、点，竖为一字，点形似珍珠，于是可解为一字一珠,一字一珠,yī zì yī zhū,一个字就象一颗珍珠。形容歌声婉转圆润。也比喻文章优美，辞藻华丽。,这样文字，连我看一两遍也不能解，直至三遍之后，才晓得是天地间之至文，真乃～。（清·吴敬梓《儒林外史》第三回）
倒剑刺,4,谜语·灯谜,根据谜题字词近义联想、合成,倒即反，剑解为戈，刺解为一击，可得反戈一击,反戈一击,fǎn gē yī jī,掉转武器向自己原来所属的阵营进行攻击。,又因为从旧垒中来，情形看得较为分明，～，易制强敌的死命。（鲁迅《坟·写在〈坟〉后面》）
九十九,7,红豆格,根据数字以及字词近义联想、合成,一百没有一就是九十九，即得“百，无一是”，由于红豆格，可得百无一是,百无一是,bǎi wú yī shì,指干一百件事，也没有做对一件，形容全都做错了，一无是处。,宋·袁采《袁氏世范》：“至于百无一是，且朝夕以此相临，极为难处。”
马蹄刀瓢里切菜,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,滴水不漏,dī shuǐ bù lòu,一滴水也不外漏。形容说话、办事非常细致、周密，无懈可击。也形容钱财全部抓在手里，轻易不肯出手。,峻青《张玉生》：“在那寒风呼啸，～的日子里，他两只脚插在冰冷的粪坑里，冻得牙齿得得直打架。
何晏,8,泄白格,根据人物典故联想,三国曹魏大臣，容貌俊美，而且喜欢修饰打扮，面容细腻洁白。泄白格且典故，即得傅粉何郎,傅粉何郎,fù fěn hé láng,傅粉：敷粉，抹粉；何郎：何晏，字平叔，曹操养子。原指何宴面白，如同搽了粉一般。后泛指美男子。,唬的那有情人恨无个地缝儿藏，羞杀我也～。（元·郑德辉《刍梅香》第三折）
乌江岸上困霸王,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,四面楚歌,sì miàn chǔ gē,比喻陷入四面受敌、孤立无援的境地。,在这～里，凭你怎样伶牙俐齿，也只得服从了。（朱自清《航船中的文明》）
余乃游僧,8,灯谜,根据人物特点以及字词近义联想、合成,余即我，游即行，僧可以联想为吃素的，于是可以解为我行我素,我行我素,wǒ xíng wǒ sù,素：平素，向来。不管人家怎样说，仍旧按照自己平素的一套去做。,笑骂由人笑骂，～而已。（柔石《二月》十）
强盗救火,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,趁火打劫,chèn huǒ dǎ jié,趁：乘机。趁人家失火时去抢劫。比喻乘人之危谋取私利。,等警察赶到时，那几个～的流氓早已逃走了。
雨加雪,3,谜语·灯谜,根据谜题字词近义联想、合成,也就是下落着雨水、雪花，可解为落花流水,落花流水,luò huā liú shuǐ,原形容暮春景色衰败。后常用来比喻被打得大败。,他们打算在初十夜间分兵四路，趁月夜进袭敌营，出其不意，杀他个～。
孤苦,5,双钩格,根据谜题字词别意以及近义联想、合成,孤可以解为孤独、寂寞，苦可解为不甘，可得寂寞不甘，由于双钩格，即得不甘寂寞,不甘寂寞,bù gān jì mò,形容不甘心被冷落或急于想参与某件事情。,从内务府垮下来的文锡，一向～。（高阳《清宫外史》下册）
云长娶媳嫁女,7,谜语·灯谜,根据人物名字以及字词近义联想、合成,云长即关羽，嫁娶解为大吉，也就是关门大吉,关门大吉,guān mén dà jí,指商店倒闭或企业破产停业。,现在他们维持不下，难免要弄到～。（茅盾《子夜》五）
注射,4,谜语·灯谜,根据所描述事情所产生的景象联想,注射的时候是从皮肤表面逐渐注入内部血管的，可解为由表及里,由表及里,yóu biǎo jí lǐ,表：表面；里：本质。从表面现象看到本质。,看问题要～。
太阳灶,8,双钩格,根据所描述事物特点以及字词近义、相关义联想、合成,灶可以联想为热火，太阳灶自然是朝着太阳即朝天的，可得朝天热火，由于双钩格，解为热火朝天,热火朝天,rè huǒ cháo tiān,形容群众性的活动情绪热烈，气氛高涨，就象炽热的火焰照天燃烧一样。,但这几天～的参军运动，也冲击着他们的身心。（冯德英《迎春花》第九章）
百米赛跑,2,谜语·灯谜,根据所描述事情所产生的景象联想,可以想象百米赛跑的时是立即动起来奋起直追的，可解为急起直追,急起直追,jí qǐ zhí zhuī,立即行动起来，努力追赶上去。,值此建设时代，内乱外患，险象环生，各行政官力负责任，～。（蔡东藩、许厪父《民国通俗演义》第三十五回）
大年初一吃面条,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,移风易俗,yí fēng yì sú,移：改变；易：变换。改变旧的风俗习惯。,我们要～，形成讲科学的好风气。
孟光做饭梁鸿吃,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,举案齐眉,jǔ àn qí méi,送饭时把托盘肖得跟眉毛一样高。后形容夫妻互相尊敬。,次日，蘧公孙上厅谢亲，设席饮酒。席终，归到新房里，重新摆酒，夫妻～。（清·吴敬梓《儒林外史》第十回）
兄弟,2,谜语,根据谜题意思以及近义联想,情同手足也就是如兄弟一样,情同手足,qíng tóng shǒu zú,手足：比喻兄弟。交情很深，如同兄弟一样。,名虽各姓，～。（明·许仲琳《封神演义》第四十一回）
猝死,1,谜语,根据谜题意思联想,也就是突然死去，可解为溘然长逝,溘然长逝,kè rán cháng shì,指死去。,他写了遗嘱和吩咐后事不久，即～。
诸葛亮出使东吴,10,谜语·灯谜,根据历史事件以及人物相关联想、合成,经典三国故事，舌战群儒,舌战群儒,shé zhàn qún rú,舌战：激烈争辩；儒：指读书人。指同很多人辩论，并驳倒对方。,诸葛亮～，薛综谓刘玄德乃织席败履之徒。冯玉祥《我的生活》第32章
飞机上扔钱,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,空头支票,kōng tóu zhī piào,指不能兑现，即取不到钱的支票。比喻不准备实现的诺言。,我知道会上根本没研究她的什么事，心里有些怪黎凤乱开～。（茹志娟《在果树园里》）
刚断奶,2,谜语,根据谜题意思联想,也就是乳臭未干,乳臭未干,rǔ xiù wèi gān,臭：气味。身上的奶腥气还没有退尽。对年轻人表示轻蔑的说法。,这些故事，作为闲谈来听听是不算很坏的，但万一有谁相信了，照办了，那就会成为～的吉呵德。（鲁迅《且介亭杂文 难行和不信》）
锯子锯掉烂木头,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,摧枯拉朽,cuī kū lā xiǔ,枯、朽：枯草朽木。摧折枯朽的草木。形容轻而易举。也比喻摧毁腐朽势力的强大气势。,拣着个精壮的村夫，赶上一拳打去，只望先打倒一个硬的，其余的便如～了。（明·冯梦龙《醒世恒言》卷三十四）
二土人也,4,灯谜,根据字的拆分以及结构联想、合成,天字可拆为二、人，地字可拆为土、也，四部分打乱即得天崩地裂,天崩地裂,tiān bēng dì liè,象天塌下、地裂开那样。比喻重大的事变。,即使～也动摇不了他对党对祖国的一颗忠心。
豹子借猪狗借骨,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,有去无回,yǒu qù wú huí,只有出去的，没有回来的,阿来《尘埃落定》第八章：“我问他，要是他弟弟～，他杀不杀我。”
鼻息震天,5,谜语,根据谜题意思以及近义联想,鼻息即气息，震天可解为冲霄汉，即得气冲霄汉,气冲霄汉,qì chōng xiāo hàn,形容魄力非常大。,革命烈士视死如归，～的大无畏气概永远激励着我们奋勇前进。
宛转蛾眉马前死,9,卷帘格,根据诗句以及字词近义、相关义联想、合成,自白居易《长恨歌》，说的是唐明皇马嵬坡缢杀杨玉环，解为杀死情人使其离开世间，即故世情人，由于卷帘格，可得人情世故,人情世故,rén qíng shì gù,为人处世的道理。,他从小就在外面闯荡，所以对～很是练达。
不图虚假，查明真相,4,谜语·灯谜,根据谜题字词近义联想、合成,解为真实的不作假，追求事实真相，可解为实事求是,实事求是,shí shì qiú shì,指从实际对象出发，探求事物的内部联系及其发展的规律性，认识事物的本质。通常指按照事物的实际情况办事。,总结经验要～，不可弄虚做假。
山雨,6,灯谜,根据字的拆分以及结构联想、合成,崭露二字均为上下结构，头角即上部分，崭露头角即山雨,崭露头角,zhǎn lù tóu jiǎo,崭：突出；露：显露。头上的角已明显地突出来了。指初显露优异的才能。,此番吴氏北返，独倡保定会议，无非欲～，力与段派抗衡。（蔡东藩、许廑父《民国通俗演义》第一一五回）
剪不断，理还乱,7,谜语,根据谜题意思以及近义、相关义联想、合成,剪不断理还乱显然是头绪太多，可解为千头万绪,千头万绪,qiān tóu wàn xù,绪：丝头。比喻事情的开端，头绪非常多。也形容事情复杂纷乱。,一时间，～，让他无从谈起。
为人托大，其何与共？,3,灯谜,根据字的拆分以及结构联想、合成,为人托大解为人字变大字多了“一”，其何与共接我其字变成共字去掉了“二”，即得一来二去,一来二去,yī lái èr qù,指一回又一回，经过一段时间。表示逐渐的意思。,余秋雨《霜冷长河·长者》：“～，上级居然下令要复课了。”
立,4,灯谜,根据字的拆分以及结构联想、合成,位字可拆为人、立，虚位以待即位字没有人为立字,虚位以待,xū wèi yǐ dài,留着位置等待。,熊召政《张居正》第一卷第18回：“三年后再入京秋闱，甲科榜上一定会～。”
笑死人,7,灯谜,根据谜题字词别意、近义以及相关义联想、合成,笑可解为快乐，死人可解为悲剧，笑死了人，也就是乐极生悲,乐极生悲,lè jí shēng bēi,高兴到极点时，发生使人悲伤的事。,谁知～，一朝触犯了朝廷，阖门待勘，未知生死。（明·冯梦龙《警世通言》卷十七）
被告认输,4,谜语·灯谜,根据所描述事情的原因联想、合成,认输了自然是理屈词穷了,理屈词穷,lǐ qū cí qióng,屈：短，亏；穷：尽。由于理亏而无话可说。,并不等候答复，而正如一般忽然陷于～的专横者一样，他立刻把最后一张牌摆出来了。（沙汀《呼嚎》）
小口,5,灯谜,根据字的拆分以及结构联想、合成,光前即小字，裕后即口字，小口即光前裕后,光前裕后,guāng qián yù hòu,光前：光大前业；裕后：遗惠后代。为祖先增光，为后代造福。形容人功业伟大。,似这般～，一灵儿可也知不？（元·宫大用《范张鸡黍》第三折）
大风刮走羊圈,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,飞扬跋扈,fēi yáng bá hù,飞扬：放纵；跋扈：蛮横。原指意态狂豪，不爱约束。现多形容骄横放肆，目中无人。,痛饮狂歌空度日，～为谁雄？（唐·杜甫《赠李白》诗）
气象万千,2,谜语·灯谜,根据谜题字词近义联想、合成,气象可解为风云，万千解为变幻万千，可得风云变幻,风云变幻,fēng yún bià huàn,象风云那样变化不定。比喻时局变化迅速，动向难以预料。,然而那么～的事，恐怕世界上是不多有的，我没有料到，未曾描写，可见我还不很有“毒笔”。（鲁迅《三闲集·通信》）
属猪的,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,好吃懒做,hào chī lǎn zuò,好：喜欢、贪于。贪于吃喝，懒于做事。,且人前人后，又怨他不会过，只一味～。（清·曹雪芹《红楼梦》第一回）
主,4,灯谜,根据字的拆分以及结构联想、合成,往字可拆为左右两部分，无前即主字，于是可解为一往无前,一往无前,yī wǎng wú qián,一直往前，无所阻挡。形容勇猛无畏地前进。,这个军队具有～的精神，它要压倒一切敌人，而决不被敌人所屈服。（毛泽东《论联合政府》）
羊枯,7,谜语·灯谜,根据人物典故联想,魏晋时期著名战略家、政治家和文学家，相关典故有折臂三公、不舞之鹤,折臂三公,zhé bì sān gōng,晋代的羊枯，曾坠马折断手臂，官至三公。指贵官堕马,唐 刘禹锡 《秘书崔少监坠马长句因而和之诗》：“上车著作应来问，～定送方。”
汉、英语的句号任意用,2,谜语·灯谜,根据形状联想,句号在中文是圈，英文是点，任意用也就是可圈可点,可圈可点,kě quān kě diǎn,文章精彩，值得加以圈点，形容表现好，值得肯定或赞扬,影片中男女主角的表演都～。
痌,4,灯谜,根据字的拆分以及结构联想、合成,痌字可拆为病、同，两个字在一起即同病相怜,同病相怜,tóng bìng xiāng lián,怜：怜悯，同情。比喻因有同样的遭遇或痛苦而互相同情。,～，缀河上之悲曲。（南朝梁·刘璠《广绝交论》）
千里之行,6,灯谜,根据字的拆分、组合以及字词近义联想、合成,千里可组成重字，行即好，于是可解为重归于好,重归于好,chóng guī yú hǎo,归于：回到；好：和好。指彼此重新和好,熊召政《张居正》第一卷第17回：“若能和太岳～，单只中宫作梗，事情就要好办多了。”
被打破嘴的骂大街,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,血口喷人,xuè kǒu pēn rén,比喻用恶毒的话污蔑或辱骂别人。,她镇静起来，从炕上摸起一件上衣往身上披，用生硬的口吻说：“你别～！你，你不安好心……”（冯德英《苦菜花》第三章）
老牛吃甘蔗,2,谜语·灯谜,根据所描述景象联想、合成,"牛吃东西一向是慢慢吞吞地,而且噶这是一条一条的,就是慢条斯理",慢条斯理,màn tiáo sī lǐ,原指说话做事有条有理，不慌不忙。现也形容说话做事慢腾腾，不不慌不忙。,“办事要思量是对的”，老山东～的说，“不过有的是明摆着的事，也不要掂量。”（冯德英《苦菜花》第八章）
坦率说话,2,谜语,根据谜题意思联想,直言不讳即指坦率说话,直言不讳,zhí yán bù huì,讳：避忌，隐讳。说话坦率，毫无顾忌。,这倒不必多心，我是个无党无派的人，才敢这样～。（梁斌《红旗谱》五十二）
习《诗品》看《释诂》,5,谜语·灯谜,根据书籍以及字词近义联想、合成,习解为温习，《诗品》解为文，《释诂》是尔雅子篇，于是可解为温文尔雅,温文尔雅,wēn wén ěr yǎ,温文：态度温和，有礼貌；尔雅：文雅。形容人态度温和，举动斯文。现有时也指缺乏斗争性，做事不大胆泼辣，没有闯劲。,～，正是学者的态度。（叶圣陶《演讲》）
闪,7,灯谜,根据字的拆分、结构以及近义联想、合成,闪字可拆为门、人，自可解为人，闭关自守即才字用人换即得闪字,闭关自守,bì guān zì shǒu,关闭关口，不和外人来往。比喻因循保守，不愿接触外界事物。,在科学技术飞速发展的今天，我们不能～，不与外界交往。
汽笛一声欲断肠,6,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,汽笛一声可解为呜呼，欲断肠可解为哀哉，可得呜呼哀哉,呜呼哀哉,wū hū āi zāi,呜呼：叹词；哉：语气助词。原为表示哀痛的感叹语，旧时祭文中常用。现用以指死亡或完蛋。,那婆娘精神恍惚，自觉无颜。解腰间绣带，悬梁自缢，～。（明·冯梦龙《警世通言》卷二）
河南人买鞋,4,谜语·灯谜,根据地理以及字词近义联想、合成,河南省会郑州，鞋古称履，即得郑人买履,郑人买履,zhèng rén mǎi lǚ,用来讽刺只信教条，不顾实际的人。,至今，不相信自己，只按教条办事，像～的人还大有人在。
战友情,2,谜语,根据谜题意思以及近义联想,袍泽之谊有类似意思,袍泽之谊,páo zé zhī yì,袍泽：长袍与内衣，泛指军队中的同事。指军队中同事的交情、友谊,他们有～，十分要好。
书信,3,谜语,根据谜题意思联想,雁素鱼笺即指书信,雁素鱼笺,yàn sù yú jiān,指书信。,明·邵璨《香囊记·途叙》：“～，离愁满怀谁与传。”
