MITI,NANDU,MIDI,JIESHI
合计七十斤,6,斩,“七十”合起来形似“车”字。
日出浇花沒水了#早上不用浇水,4,晓,“浇”字去掉“水”变成“尧”，加上“日”字旁变成“晓”。#“早”字的上半部分是“日”；“浇”字去掉“水”，余下“尧”。
领头羊,7,羚,“领”字的前头为“令”，与“羊”组合成“羚”字。
醉后磕头,4,碎,“醉”的后半部分，“磕”的前半部分。
左边加一半，右边减一半,4,喊,左边“加”字的一半，取“口”；右边“减”字的一半，取“咸”；合为“喊”。
莫要不露头#一草一木，日见其大,2,模,“不”字露头后，可成为“木”字，与“莫”组合，成“模”字。#“草（艹）”、“木”、“日”、“大”组成“模”。
有人承担放宽心#莫要动手,4,摸,“宽”字中心是“艹”，与“人”和“担”组成“摸”字。#“莫”字要动“手”了。
居心不正怕见鬼#百无一用心有愧,6,魄,“居心不正”别解为“心”字作偏旁；“魄”字加上“忄”，成“怕鬼”。#“百”字无“一”，即“白”；“鬼”有“心”，为“愧”。
左边九加九，右边九十九，左右合起来，四季长青树,5,柏,“九加九”等于十八，就是个“木”字。“九十九”，缺一是百，就是“白”字，常青树木，就是“柏”。
岷山下,1,民,“岷”字的“山”下去了，余下“民”字。
人去何为#男女同行#遇水立成河#为何无人也同意#再添一个便是老兄#遇水即成河，有伴就称哥，头顶大得奇，傍人又如何#有水哗啦啦，有口笑哈哈，有土不平整，有人不知啥,1,可,“何”字的“人”去了，余下“可”。#生男称“添丁”，生女叫“增口”，故灯谜有“男丁女口”的扣法。#“可”遇“水”成“河”字。#“何”无“人”也“可”以。#“可”再添一个“可”就是“哥”老兄了。#“可”遇水即成“河”，两个“可”就称“”哥，头上加个“大”就是“奇”，傍上“人”就是“何”。#“可”字有水便是“河”，有“口”便是“呵”，有“土”便是“坷”，有“人”便是“何”。
变革后要大上#失恋后从头开始,6,奕,“变”字被革了后半部分，留下“亦”；“亦”要站在“大”的上面，便构成“奕”字。#“失恋后”指“恋”字失去了后半部分，剩下“亦”；“从头”指“从”字的头部，即“人”；“开始”指“开”字的第一笔，即“一”。
动手配钥匙,6,拈,“占”以象形法扣“钥匙”。
前头不见有人来#输掉一辆车,6,俞,“前”字的头部（丶ノ）不见后，与“人”组合，即为“俞”字。#“输”掉了一辆“车”。
二十四夜#罪名除后得心宽#三八晚会,6,萝,“夜”与“夕”同义相扣。“二十”，别解为“两个十”，即“艹”。#“罪名”二字的后半部分除去掉，余下“罒夕”；“宽”字中心，为“艹”；“罒夕”得“艹”之后就是“萝”字。#“三八”相乘可得出“二十四”，“二十四”可写作为“十十四”，再与“夕（晚）”相会，即成为“萝”字。
日出应在寅时后,5,昂,“寅时”之后是“卯时”。
看见大姐二姐小姐，没看见三姐#大小相等#老大老二和老三，兄弟三个叠罗汉老大踩着老二头，老三站在最下边#一大一小，猜尖错了#大小一一俱全,5,奈,“三姐”别指“三个‘姐’字”，谜面后半句的“没看见三姐”抵消了前半句的“看见、姐姐姐”，剩下“大二小”，合为“奈”字。#“大、小、=”#老大是“大”，老二是“二”，老三最小是“小”。#“奈”字由上而下拆分“大、一、一、小”。#此字有“大”有“小”，有“一”有“二”。
华北,1,化,“华”字的北部为“化”字。
案中悬疑先后解,6,婿,“案”字中间是“女”，“悬疑”二字的先后部分可组合成“胥”，合为“婿”字。
同心结义,6,吝,“同”字的中心“一口”，与“义”相结合，可成为“吝”字。
俩人侍一主#中国移动，人人拥有#中国改革人人拥护,2,往,“俩人”引申为“彳”，与一“主”组合，即“往”字。#“国”字的中间是“玉”，“玉”的结构移动后可成“主”字，与“人人”组合，即“往”。#“国”字中间的“玉”改革成为“主”字；“人人”意为“彳”。
言出滑稽又可笑#梅雪争春不肯降,4,皆,“言”字一出现，与“皆”组合，即为“谐”字。“谐”，有“滑稽、可笑”之义。#梅雪相争，“比”一下谁更“白”一点。
挖土引水能养鱼,1,地,“地”字挖掉“土”剩下“也”，“也”引“水”即为“池”，“池”便能养鱼。
无心惹他也枉然,7,偌,“惹”无“心”，“他”无“也”；“枉然”义为白费。
一时半刻#夜里十一点前后,2,孩,谜底“孩”字可拆解为“子、亥”，“子”别指“子时”，即23：00~01：00。“刻”字的一半，取“亥”。#“子”时即23时至01时，“亥”时即21时至23时。
靠前空出一半,6,窖,“靠”字前半部分是“告”，“空”字出了一半剩下“穴”。
二百天,6,荀,“荀”拆解为“二十、旬”。
不准夸口,5,跨,“不准”扣“止”，与“口”和“夸”组合得“跨”字。
如去一口，仍少一人,4,奶,“如”字去掉一“口”，剩下“女”；“仍”字少一“人”，余“乃”。
有约在先心不急,8,绉,“约”字的前半部分是“纟”，“心不急”指“急”字没心。
且散愁心消消火,4,租,“愁”字的“心”和“火”消散去，余下“禾”，与“且”组成“租”字。
说不清楚教人猜#迷信害死人,6,谜,说（言）得迷迷糊糊，让人来猜！#“迷信”害死了“人”，剩下“迷言”。
拔掉龋齿抛屋后,2,属,“龋”字的“齿”被拔掉了，余下“禹”；“抛屋后”别解为“屋”字的后半部分（至）被抛弃了，留下“尸”。
减下一横，加多一半#这边多一半，那边补一半；要想猜着它，莫在里面转#滴泪直到梦尽头#不足之处,1,外,减去“下”字的“一横”，剩下“卜”字，然后加上“多”字的一半“夕”，即为“外”字。#“多”字的一半，取“夕”；“补”字的一半，取“卜”；合为“外”字。“莫在里面转”提示“外”之意。#“滴泪”扣“丶”，“直”扣“丨”，二者组成“卜”；“梦”字的尽头为“夕”。#“处”字的笔划不足，省略为“外”字。
宝玉出游到园中#前在宋之前，后在宋之后#不见宝玉进园中,1,完,“宝”字的“玉”出游了，剩下“宀”；“园中”别解为“园”字中间，即“元”。#“宋之前”指“宋”字的前半部分（宀），“宋之后”从历史来算宋朝之后是“元”朝。#“宝”字的“玉”字不见了，“园”字的中间是“元”。
毁坏森林，后患就在眼前,1,想,“森”字的“林”被毁坏了，余下“木”。“患”字的后半部分为“心”；“眼”字的前半部分为“目”。
老子关前连声叫,2,联,“老子”，即李耳，以“耳”代指，与“关”组合，成“联”字。“联”与“连”的读音相同。
日落西山不见山#太阳落西边#夕阳,6,晒,谜面“山不见山”自行抵消“山”，余下“日落西”扣“晒”。#“太阳（日）”落在“西”的旁边。#太阳（日）落“西”边。
点睛能飞,4,乌,就差一点就变成鸟了！
见禾脱颖而出,6,顷,“顷”字添上“禾”，即“颖”字。
原始货币用何物,5,贷,谜底“贷”可拆解成“贝代”，正面会意。古代用贝壳做货币。
一气之下离西洋,5,氧,“离西洋”别解为“洋”字的西半部分离去了，余下“羊”。
谁见谁都说漂亮，分开却是大王八#一一给予关心#未来大好#十二大四中全会#人民币一大摞#八大王集合,1,美,“美”义扣“漂亮”，拆分开却是“大王八”。#“一一”给予“关”字，可成为“美”字。#“未”，地支的第八位，属“羊”，与“大”组合，可成“美”字。“美”，作美好解。#“四”字中间可看作是“八”，与“十二大”全会合在一起，就是“美”字。#“人民币符号”添上“一”和“大”，便组成“美”字。#“八大王”集合起来组成“美”字。
月字在一边，十字少一点#夜半桥旁月正圆,6,脖,“十字”少“一点”，与“月”组合，成“脖”字。#“夜半”是子时，扣“子”；“冖”以象形法扣“桥”；“正”别解为数学符号“十”。
网络出错各分散,5,纲,“网络”二字去掉“错”和“各”，剩下的部首可结合成“纲”。
明日去上工,6,肛,“明”字的“日”去了，替上“工”字。
个个长寿,5,筹,“长”，别指生长。“个个”合成“竹”，与“寿”组合，成“筹”字。
我到河南#我离开河南#我到河南真开心#我去河南说相声,1,象,“我”义通“予”，加上谜底“象”，即成为“豫”字。“豫”，是河南的简称。#河南，简称“豫”。“予”字义同“我”，“予”字离开“豫”，余下“象”字。#“我”与“予”同义，“予”组合“象”成为“豫”字，“豫”是河南的简称。另，“豫”的字义为“欢喜、快乐”。#河南简称“豫”，“豫”字可拆解为“予象”，“予”同“余”，字义为“我”；“豫”去掉“我”，剩下“象”，“象”与“相”读音相同。
玄而又玄耍滑头,5,滋,两个“玄”组成“兹”，“滑”字的前头是“氵”。
红了还要红#近朱者赤#一对红,4,赫,两个“红”，红即赤。#“朱”即红色、赤，近朱生赤，即两个赤赤。#一对即两个，红即“赤”。
三点演出扮伯虎,6,寅,“演”字去掉“三点”，剩下“寅”，唐寅字伯虎。
戎装半旧,5,戒,“旧”字的一半，取“丨”，装在“戎”字上，便是“戒”字。
他先来，我后到#你在西，我在东，像要起战争#你我各一半，互相来征战#你东征，我西征#你一半，我一半；同心干，把树砍,5,伐,“他”字的先头部分与“我”字的后半部分组合，可成为“伐”字。#“伐”字由“你”字的西边和“我”字的东边组合而成。“伐”别指“征伐”。#“你我”二字各取一半出来组成“伐”。#征去“你”的东边，征去“我”的西边。#“你”字的一半，“我”字的一半。
摆手告别#双双离开,4,罢,“摆”字的“手”告别了，余下“罢”字。#“双双”合计数量为“四”，“离开”义为“去”。
人人有底线#对人要真心不二#两人并肩坐，扁担来托着；有人抽扁担，两人并肩站#两人坐天上,5,丛,谜面别解为“人人”二字底下有一条线。#“对人”别解为“一对人”，即“从”；“真心不二”别解为“真”字的中心“三”，不要“二”，余下“一”；合为“丛”字。#“人人”并肩坐，“一”来托着。#“两人”即“从”，“天上”即“一”。
合并为一瓶,4,瓦,“瓦”字与“并”字组合，可成为一个“瓶”字。
观不见有鸟飞来,4,鸡,“观”字的“见”没了，剩下“又”，飞来“鸟”。
希字没有错,2,布,“希”字没有错（乂），就是“布”字。
与水交融如胶漆,6,膝,“膝”字与“水交”合起来，可成为“胶漆”二字。
纵使百变亦有迹,2,造,“百”字的结构可变化为“告”字，“亦”有“辶”就是“迹”。
变相回扣放桌下,4,操,“桌”字的下半部分为“木”字，与变了相貌的“回扣”可组成“操”字。
一到开封,10,葑,“葑”字由“艹、封”组成，“一”到了组合进去便是“开、封”。
横竖一定吃大亏,6,垮,“横”、“竖”、“一”组成“土”字，“大”、“亏”组成“夸”字。
先到江西,4,洗,“江西”是指“江”字的“西边”即“氵”，“先”到了就是“洗”字。
千里挑一辅君前,2,伊,在“千”字里挑去“一”后，成“亻”；“君”字的前半部分为“尹”。
保卫边境#退堂前休要入内,4,堡,“境”字的一边，取“土”。#“堂”字的前半部分退去，余下“口土”，与“休”组成“堡”字。
一直加快,8,怏,“快”字加“一直”便是“怏”字。
一片秋色在眼前,8,钼,“秋色”可解为“金秋之色”即“金”色，得“钅”，“眼前”即“目”，合起来为“钼”。
去南岳#山岳隐隐闻秋声#顺看斤一两，倒看正一斤#共计十两,5,丘,“岳”字去掉南边，余下“丘”字。#“岳”字隐去“山”，余下“丘”；“丘”与“秋”读音相同。#“丘”字可拆成“斤一”。#“丘”字可拆分为“一斤”，“一斤”共计十两。
圈内人，很疲惫,6,倦,“圈内”为“卷”，与“人”组合成“倦”字；“倦”的字义为疲惫。
拣一半，倒一半,6,抹,“拣”字的一半，取“扌”；“倒一半”别解为将“半”给倒转过来，即“末”字。
有人传令，逢场做戏,6,伶,将“人”传给“令”，合为“伶”字。旧时指以演戏为职业的人称之为“伶”。
边线得分,4,纷,“线”字的一边，取“纟”。
西边有水,6,洒,“西”字的左边有“水”。
风里来，雨里去，一年到头奔前程,5,稀,“风”字的里面是“乂”，“雨”字的里面去掉与“年”字的头笔（ノ）合为“布”，“程”字的前半部分为“禾”，合为“稀”字。
伸手就抓#瓜熟蒂落,6,爪,“爪”字与“手”组合，可成“抓”字。#“瓜”下面那个“勾”掉了。
有人来存款,3,诸,“诸”字有“人”就是“储蓄”的“储”字。
后跟沾土,6,垦,“跟”字的后半部分为“艮”，沾上“土”后就成“垦”字。
翻开日记写心得,4,惜,“开”字翻过来为“龷”，接着记个“日”，再写个“心”便得出“惜”字。
苏北相逢,6,蓬,“苏”字的北部为“艹”，与“逢”字相会，成为“蓬”字。
只差八字没写,7,嗟,“只差”没写“八”字，剩下“嗟”。
争先恐后去当头,2,急,“争”字的先头是“⺈”；“恐”字后半部分为“心”；“当”字去掉头部，即“彐”。
一曲低音送出关#四十口登日走#送去云长，迎来孟德,3,遭,“音”字的低部为“日”；“送”字出去“关”，余下“辶”。#“十十十十口”与“日”组合，构成“曹”字；“走”字义通“辶”。#“云长”即关羽，“孟德”即曹操；“送”字去掉“关”字，迎来“曹”字。
屋下一只狗#看家狗,7,戾,“犬”字义扣“狗”。#“家”即“户”，“狗”即“犬”。
无心有力依然勇,7,恿,“恿”字无“心”有“力”便成“勇”字。
用木做成个杖#人生便是战斗#无人打仗,4,丈,“丈”与“木”组合，成“杖”字。#“丈”字与“人”组合，即为“仗”字。“战斗”，提示“仗”之意。#“仗”字无“人”打。
一一出击，错失先机,6,岚,“击”字去掉“一一”，余下“山”；“失先机”别解为“机”字的先头失去掉，剩下“几”，与“错”组成“风”字。
大水多一点#派头有点大,6,汰,“大水”二字多加一“点”，成为“汰”字。#“派”字前头为“氵”；“大”有一“点”，即“太”。
半数持枪半带剑,2,检,“枪剑”二字各取一半，即为“检”字。
西湖一直觅知音#三三两两有派头#下午1点#春雨下田间,6,汁,“湖”字的西部是“氵”与“一”和“直（象形）”组合，可为“汁”字。“汁”与“知”的读音相同。#“三三两两”加起来为“十”，“派”字的前头是“氵”。#下午1点即“十”“三”点。#“春雨”为“水”，“田间”则“田”字中间“十”。
竹荫双燕逐残红,8,筮,“竹荫”即“竹”字头，“双燕”形似两个“人”字，“残红”解为“工”，合起来就是“筮”。
没有夸大损失#别夸大#不要夸大,5,亏,“夸”没有“大”，即“亏”；“亏”字义为损失。#“夸”字别了“大”。#“夸”字不要“大”。
七上八下叶参差,10,轵,“轵”字可拆解为“七十口八”。
长明灯,7,灸,据说长明灯是不熄之火，一燃上，就不能被吹灭。
集体改编,6,椎,“集”字的体型改变后，可变成“椎”字。
接通一半,6,捅,“接通”二字各取一半，组成“捅”字。
给你留后患#心上只有你#你多心了,2,您,“患”字的后半部分为“心”，与“你”组合，成“您”字。#“心”字上面只有“你”字。#“你”多“心”了。
塘边取土不对头,5,糖,“塘”字的“土”被取走了，剩下“唐”；“不对头”别解为两个“不”字头对头顶着，形似“米”字。
口中一点不是日曰字#一只小虫生得轻，嘴巴长在天灵盖,2,虽,“口”、“中”、“一”、“、”组合起来。#天灵盖是头顶的骨头。
心字欠两点,7,恣,“心”、“欠”、“两点”。
旁边又来一匹马,6,驭,“又”一匹“马”。
小两口哭成一团#哭后对方闻泣声#四个嘴大一点#一家四口来合作，贡献大一点#流眼泪对流眼泪,2,器,“小两口”别解为“两个口”，即“口口”，与“哭”字抱团在一起，成为“器”字。#“对方”别解为“一对方格”，写作“口口”，置于“哭”的后面，成为“器”字；“器”与“泣”读音相同。#“四个嘴（口）”、“大”、“一点（、）”组成。#“器”字四个“口”，再加个“大”、“一点”。#我猜对了开头却猜不对结尾！
老赵出走奔异乡,10,绡,“老赵”别解为繁体字，“趙”；“趙”字的“走”出去，剩下“肖”；“肖”来与变异的“乡”结合，形成“绡”字。
一半绿，一半红，一半喜雨，一半爱风#一边绿，一边红，一边怕水，一边怕虫,3,秋,“禾”是绿的，“火”是红的。#禾苗是绿的，火苗是红的。
进门就闹,1,市,“市”一进“门”便是“闹”字。
日落江边一抹斜,6,泊,“江边”指“江”字的左边，为“氵”；“日”落江边，再加“一抹斜”即“泊”字。
有心表态,1,太,“太”字有“心”，就成为“态”字。
有心入门难透气,5,闷,有“心”入“门”就会难透气，“闷”得慌啊。
万绿从中一点红,6,株,“木”绿“朱”红。
接口就问，有耳共闻#福建省内#有耳能听到，有口能请教，有心就犯病，有人雷声响#闻不用耳#涧水流终日,1,门,“门”字接“口”就“问”，有“耳”共“闻”。#福建简称“闽”，“闽”省了内部便剩下“门”。#“门”字有“耳”便是“闻”，有“口”便是“问”，有“心”便是“闷”，有“人”便是“闪”电的闪。#“闻”不用“耳”，用“门”。#“涧”拆分为“水、门、日”，“水流”即为“间”，“终”即为“末了，结束”。
人人为改革出力,3,伙,“为”字改革，把“力”字去掉，剩下“两点”；“两点”与“人人”可组成“伙”字。
台前退到幕后#孤帆一片日边来,6,吊,谜面应读为“台前退、到幕后”。#“巾”像船帆，“日”字周边为“口”。
独自无心对黄昏,6,囱,“黄昏”义扣“夕”；“自”字的中心部分去掉，加进“夕”成为“囱”字。
团结如一人#如同大团结,6,姻,把“如一人”团结在一起，可成为“姻”字。#“同”，取“和、与”之意。“如”与“大”团结在一起，可为“姻”字。
够十两就行,2,近,“十两”为一斤；“行”别解为“走”，扣“辶”。
谓之男儿，排行第四#横跨水中央#水中一现是男人#有眼看得准，有口咬得紧，有金钻劲大，有火放光明,4,丁,“丁”，一义为成年男子；“丁”是天干的第四位，用于作顺序第四的代称。谜面两次扣合谜底。#“水”字的中间是“亅”，“横”跨在“亅”上面即“丁”字。#“水”字的中心添上“一”，便成为“丁”字；“丁”，指成年男子，如“壮丁”。#“丁”字有“眼（目）”就是“盯”，有“口”就是“咬”，有“金”就是“钉”，有“火”就是“灯”。
适当出口,5,迁,“适”字把“口”当出去，剩下“迁”字。
先上后下#先写上，后写下#先写上半截，后写下半截,2,告,“先”字的上半部分与“后”字的下半部分组合，可为“告”字。#“先”字写上半部分，“后”字写下半部分。#“先”字的上半截为“土”，“后”字的下半截为“口”。
惨案之后,6,杉,“惨案”二字各取下半部分。
山影连绵碧空上,3,础,“山”和其影子可连成“出”字；“碧”字的上方空了，余下“石”。
古稀之年献爱心#见水污浊把手摇#挥手告别,1,军,“七十”岁称为古稀之年，“七十”合为“车”字；“爱”字的中心，是“冖”。#“军”字见“水”，即“浑”；加个“手”，即“挥”。#“挥”字的“手”告别了。
演出一半#山水相连#海峡两边喜相逢,7,汕,“演出”二字各取一半，成“汕”字。#“山”、“水”连在一起。#“海峡”两边偏旁分别是“氵”和“山”，有山又有水，一点都不寂寞。
春天一日游#春日变天#来日是春天#从五行分析#二人顶三人,4,奏,“春天”二字的一“日”游走了，余下组合成“奏”字。#“春”字里的“日”字变成了“天”字。#“奏”字添上“日”，即可成为“春天”。#“奏”字可拆分为“五行”和一个“从”。#这字太形象了，“二人”合为“天”，与“三人”组合，即成“奏”字。
何谓添丁#弄璋之喜#不是女同学,7,甥,添丁，意思是生儿子。#“弄璋之喜”旧时常用以祝贺人家生男孩，“弄瓦之喜”旧时常用以祝贺人家生女孩。#是男同学，“男生”。
为宁波出力#用力一点小心跌倒,4,勇,“宁波”简称“甬”，“甬”出来个“力”便是“勇”。#“小心跌倒”别解为“小”字的中心“亅”倒过来形成“乛”，“乛”再加上“用力点”便是“勇”字。
西城小住听晨语#小坐一会，二人离去#小王一去不知返,5,尘,“城”字的西边是“土”，与“小”组合成“尘”字，“尘”与“晨”读音相同。#“小坐”会合在一起，再分离去两个“人”，便余下“尘”。#“小王”去掉“一”变成“小土”了。
有口则鸣#赠我一只鹅#唐老鸭退役,4,鸟,“鸟”字有“口”，则为“鸣”字。#赠送个“鸟”字给“我”就是“鹅”字。#“退役”即“解甲”，“鸭”去掉“甲”即为“鸟”。
捉鳖失鱼,6,敝,“鳖”字失去“鱼”，余下“敝”字。
有儿有女有兄妹,3,味,“味”字有“儿”有“女”之后就成了“兄妹”二字。
立春就结婚#站在树梢上,2,亲,“春”与五行中的“木”相扣，“立”与“木”合成“亲”字。“结婚”，暗示“成亲”之意。#“站”与“立”字义相同，“树梢”扣“木”。
女儿出了嫁,1,家,“嫁”出了“女”儿。
一人照顾，二人等#一尺一,5,寺,“寺”字添上“一人”为“侍”，添上“二人”即“待”。#1尺=33.333333333333厘米，1.1尺=36.666666666667厘米，11寸=36.666666666667厘米，“一尺一”等于“十一寸”。
调整一半#不是反话#不负前言,2,证,“调整”二字各取一半，成“证”字。#不是反话，是正话。#“不负”反扣“正”。
孙子走了#不在北京在南京#尘土飞扬,1,小,“孙”字的“子”走了，余下“小”字。#“小”字不在“京”的北部，在“京”的南部。#“尘”字的“土”飞了。
江西受益,6,溢,“江”字的西部为“氵”，接受“益”后可为“溢”字。
啤酒厂出酒,6,碑,“啤酒厂”去掉“酒”字，剩下的可合为“碑”字。
小孙告辞#好好学，里面都有#到菜园可见张青#一走就了#生个女的就好#没有学头,1,子,“孙”字的“小”告辞了，余下“子”字。#“好好学”三字里面都有“子”字。#《水浒传》人物张青，外号“菜园子”。“子”到“菜园”就成了“菜园子”张青。#“子”字的“一”走就是“了”。#有了“子”，再生个“女”就是“好”字了。#去掉“学”字头。
复习目的非为私,6,翁,“复习”，别解为两个“习”，即“羽”字。“非为私”反扣“公”。
大方小方得平反#回来了倒平安,7,啬,“大方”可以解释为大的正方形，为大“口”，同理“小方”的，合起来得“回”；“平”的反向与“回”组合，成为“啬”字。#“倒平安”别解为将“平”字倒过来，安放在“回”字上。
古稀之年变化多,3,轮,“古稀之年”指年到“七十”，合为“车”字；“化”字可变成“仑”。
独生女,7,婵,“单”一个“女”。
一个接一个#见人似笑非笑#个个汗水直流#助人为乐,6,竺,“一个”与“一个”组合，可成“竺”字。#“竺”字与“人”组合，形似“笑”字，但非“笑”字。#“个个”照样群组成“竹”，“汗水直流”别解为“汗”字的“水”和“一直（丨）”流走了，余下“二”。#“竺”借助“人”便是“笑”，笑着笑着自然就乐了~
访得其人，无须多言,4,旗,“访”字得了“其人”之后，不要“言（讠）”了。
雄心到老,6,佬,“雄”字的中心是“人”，与“老”字组合，成为“佬”字。
差一点到上海,7,渥,“上海”简称为“沪”，“到上海”即可理解为“至沪”；谜底“渥”字差“一点”就可成为“至沪”。
话说三国美髯公,7,诩,“三国美髯公”，指关羽。“诩”字可拆解成“言羽”。
半边大，半边小；半边跑，半边跳半边奔驰疆场上，半边偷偷把人咬#一边大一边小，一边会跑一会边跳，会跳的吃人，会跑的吃草#左边大，右边小，右边跳，左边跑，右边喝血，左边吃草,6,骚,“马”很大，“蚤”很小，“马”会跑，“蚤”会跳。#“马”比“蚤”很大，“马”跑“蚤”跳，“马”吃草“蚤”吃人血。#“马”比“蚤”大，跳的是“蚤”，跑的是“马”，“蚤”喝血，“马”吃草。
不负前行#二人正好远行,2,征,“不负”，反扣“正”；“行”字的前半部分为“彳”。#“二人”与“正”组成“征”字，“远行”提示“征”的字义。
老子在家#进门取走一半,3,闻,老子，即李耳，故“老子”借扣“耳”。#“取”走了一半，再进“门”。
木在口中栽，非杏亦非呆，当做困字看，不算猜出来#一直结为同心人#口中一木栽，非困又非呆，若要把杏念，趁早你莫猜#口木不是呆，不作杏字猜，你若猜困字，还没猜出来,3,束,“木”字种在“口”字中间。#“同”字的中心是“一口”；“一直（丨）”与“一口”和“人”结合成为“束”字。#“束”字由“口”、“木”组成。#答案还真是丰富啊！
时装,10,衿,“衿”可拆解为“今衣”。
食物往哪去？#向来只取一半,2,响,“响”字可拆分为“向口”，谜底以问答法来扣合谜面。#“向”来了，“只”字取一半，取“口”。
氧化氢#小心翼翼伴皇上,5,泉,氧化氢，是由氢、氧两种元素组成的无机物，即水。谜底“泉”字，可拆解为“白水”，与谜面之义相呼应。#“小”字中心是“亅”，“翼翼”别指为“翅膀”；“皇”字的上半部分，为“白”。
前后有狗，谁先进去#猜谜之前大聚会,5,狱,“谁”字的先头是“讠”。#“猜谜之”三字的前头分别是“犭讠丶”，再与“大”聚在一起便是“狱”字。
红粉不知愁,6,嬉,“红粉”借指“女子”。
倘若无人也要走,6,趟,“倘”字没了“人”后，与“走”字组合，成为“趟”字。
不着边际,1,还,“边”字的旁边（际）为“辶”，与“不”组合成“还”字。
盲目行动心变态#忘得变了样,3,忙,“盲”字的“目”行走了，留下“亡”；“心”字的形态变了，变成“忄”。#“忘”字变了个花样。
联合中心#孤舟悬帆江上横,4,忠,“中心”联合在一起，可为“忠”字。#“忠”字可拆解为“中心”，“中心”二字分别以象形法与“孤舟悬帆”、“江浪”相扣。
看看像母，叫叫像父，越看越像母，越叫越像父，其实不,6,毋,“毋”字看字形像“母”字，读起来音却像“父”。
看看心里平，其实跳不停,6,怦,“怦”字里有“心”又有“平”。
火上加火更生气,6,氮,“火”字加上“火”，即“炎”字，生出“气”后即“氮”字。
此字谁也写不正#不正则偏#正喝半杯便倒#不止一横,6,歪,“不正”合为“歪”字，且二者所表达之意相同。#“不正”合为“歪”字。“偏”提示“歪”的字义。#“半杯”即“不”，“正”与“不”结合为“歪”字。#“不止”加“一横”即为“歪”字。
不贪绝色，不贪金钱,2,线,不贪“绝”的“色”，不贪“钱”的“金”。
小子猜得出色,10,狲,“猜得出色”别解为“猜”字除去“青”色，余下“犭”，与“小子”组合便成为“狲”字。。
音乐声声友人来#六十天,3,朋,“乐”字与“月”字读音相同；“友人”与“朋”之义相扣。#一个月三十天，两个月便是六十天（银行利息是按一个月30天来算的），两个“月”即为“朋”。
曾经有财但无才,6,赠,“曾”字有“财”，但无“才”。
二者勾心又搞鬼#讲鬼,4,魂,“勾”字中心为“厶”，与“二”结合为“云”字；“云”搞“鬼”即“魂”字。#“讲”即云云之类的。
千古牵连一笔勾#湖中垂钓到白头,2,乱,“千古”二字牵连重叠一起成“舌”字，“一笔勾”为“乚”。#“湖中”指“湖”字的中间“古”字，“白头”指“白”字的头部“丿”，“垂钓”象形“乚”。
残云遮月花片片,1,能,“云”字残缺，取“厶”；“花片片”扣“匕匕”。
给水，给电，配套上,6,淹,给“水”，给“电”，再把“套”字上半部分的“大”字配上。
驱马离去,1,区,“驱”字的“马”离去了，剩下“区”。
连日不雨#三月一直看柳色#请勿说话#言来互相尊重，心至令人感动，日出万里无云，水到纯净透明#见日天空亮，遇水河见底，知心是朋友，两人友谊长,2,青,“青”字与“日”连在一起，即为“晴”字。“不雨”提示“晴”的字义。#“三月”二字加“一直（丨）”便是“青”字，“青”暗示柳树的颜色。#“请”字不“言”不语。#“青”字有“言”便是“请”，有“心”便是“情”，有“日”便是“晴”，有“水”便是“清”。#“青”见“日”即“晴”，遇“水”即“清”，知“心”即“情”。
删去后半部,4,册,“删”字去掉后半部分，余下“册”字。
水多一点,3,永,“水”字多了“一点（丶）”。
一撇#有人发出不平声#有点范围大,3,厂,“一”和“撇”组合，成为“厂”字。#“厂”字有了“人”之后，即为“仄”字。“仄声”，是古汉语四声中上、去、入三声的总称，与“平”相对。#“厂”字有“一点”的话，就成为“广”字，“广”字义为范围大。
供出一半#下岗后，人消瘦#春节三日去游山#从前有座山#一个人，在山边,4,仙,“供出”二字各出去一半，留下“仙”字。#“岗”字去掉后半部分，余下“山”；“人”字瘦了，瘦成“亻”。#“春”字可分解为“三人日”，“春”字节省掉“三日”之后余下“人”；“人”游“山”即“仙”字。#“从”字的前半部分为“人”，“人”有座“山”即“仙”。#“山”的旁边有个“人”。
楚霸王乌江自刎,6,翠,“楚霸王”名项羽，字“羽”，“自刎”便是死亡即“卒”。
语言美#漂亮话引人上当,5,诱,“诱”字可拆解为“言秀”。#“诱”字可分解为“秀言”，意为“漂亮话”；“引人上当”提示“诱”的字义。
重点将二人拿下#二人着手抓重点,5,拳,“重点”别解为“两点”；“二人”合为“夫”字；“拿”字的下半部分为“手”；#“重点”意为“两个点”，与“二人”和“手”可组成“拳”字。
夫人不在儿顶着#沅水奔流#百花园里百花开#葡萄园里摘葡萄#夫人外出儿归来#次子#夫人不在儿做伴,2,元,“夫”字的“人”不在了，剩下“儿”在下面顶着。#“沅”字的“水”奔流走了，剩下“元”字。#“开”表示减损，“百花”与“百花开”抵消。“园中”别解为“园”字的中间，即“元”字。#“园”字的里面是“元”，“葡萄元”摘去“葡萄”，剩下“元”。#“夫”字的“人”外出了，“儿”字回来了。#“二儿”子。#“夫”由“二、人”组成，“人”不在便是“二”，“儿”做伴便是“元”。
没有半点兴致,2,举,“没有半点”，别解为“半”字没了“点”，与“兴”组合，成为“举”字。“致”，通“至”，义为到达。
童子头顶一石臼#此汉子鼠头鼠脑,6,舅,“童子”即“男”子。#“汉子”扣“男”，“鼠头鼠脑”即“臼”。
